symbol,name,reportDate,fiscalDateEnding,estimate,currency
CMPR,Cimpress plc,2023-01-25,2022-12-31,1.53,USD
CMPS,Compass Pathways Plc,2022-11-17,2022-09-30,-0.65,USD
CMPX,Compass Therapeutics Inc,2022-11-11,2022-09-30,-0.1014,USD
CMRE,Costamare Inc,2023-01-25,2022-12-31,1.04,USD
CMRX,Chimerix Inc,2022-11-10,2022-09-30,2.11,USD
CMT,Core Molding Technologies,2022-11-10,2022-09-30,0.21,USD
CMTG,Claros Mortgage Trust Inc,2022-12-12,2022-09-30,0.3405,USD
CMTL,Comtech Telecommunications Corp,2022-12-07,2022-10-31,-0.1379,USD
CMTOY,CMTOY,2022-11-15,2022-09-30,0.0355,COP
CNA,CNA Financial Corp,2022-10-31,2022-09-30,0.6834,USD
CNAF,CNAF,2022-11-01,2022-09-30,0,USD
CNBB,CNBB,2023-01-12,2022-12-31,,USD
CNCE,Concert Pharmaceuticals Inc,2022-11-10,2022-09-30,-0.592,USD
CND,Concord Acquisition Corp - Class A,2022-11-14,2022-09-30,,USD
CNDT,Conduent Inc,2022-11-09,2022-09-30,0.0884,USD
CNET,ZW Data Action Technologies Inc,2022-11-17,2022-09-30,0,USD
CNF,CNFinance Holdings Ltd,2022-11-23,2022-09-30,0.03,CNY
CNFR,Conifer Holdings Inc,2022-11-09,2022-09-30,-0.14,USD
CNGO,CNGO,2022-11-09,2022-09-30,,USD
CNHI,CNH Industrial NV,2022-11-08,2022-09-30,0.3228,USD
CNI,Canadian National Railway Company,2023-01-24,2022-12-31,2.05,CAD
CNIKF,CNIKF,2023-01-24,2022-10-31,,USD
CNK,Cinemark Holdings Inc,2022-11-04,2022-09-30,-0.063,USD
CNLFF,CNLFF,2022-11-08,2022-09-30,,CAD
CNM,Core & Main Inc Class A,2022-12-06,2022-09-30,0.536,USD
CNMD,Conmed Corp,2023-01-25,2022-12-31,1.09,USD
CNNE,Cannae Holdings Inc,2022-11-08,2022-09-30,-0.01,USD
CNNEF,CNNEF,2022-11-15,2022-09-30,0.08,USD
CNNRF,CNNRF,2022-11-22,2022-09-30,,USD
CNOB,ConnectOne Bancorp Inc,2023-01-26,2022-12-31,0.7967,USD
CNOBF,CNOBF,2022-12-12,2022-10-31,,USD
CNP,Centerpoint Energy Inc,2022-11-01,2022-09-30,0.3272,USD
CNPOF,CNPOF,2022-11-16,2022-09-30,,USD
CNPRF,CNPRF,2022-11-09,2022-09-30,,CAD
CNQ,Canadian Natural Resources Ltd,2022-11-03,2022-09-30,3,CAD
CNR,CNR,2022-11-07,2022-09-30,,USD
CNRD,CNRD,2022-11-16,2022-09-30,,USD
CNRIF,CNRIF,2023-01-26,2022-11-30,,USD
CNS,Cohen & Steers Inc,2023-01-25,2022-12-31,0.87,USD
CNSL,Consolidated Communications Holdings Inc,2022-11-01,2022-09-30,-0.01,USD
CNSP,Cns Pharmaceuticals Inc,2022-11-30,2022-09-30,-0.07,USD
CNSWF,CNSWF,2022-11-04,2022-09-30,,USD
CNTA,Centessa Pharmaceuticals plc,2022-11-14,2022-09-30,-0.5775,USD
CNTFY,CNTFY,2022-11-23,2022-09-30,0,USD
CNTG,Centogene NV,2022-12-21,2022-09-30,-0.3528,EUR
CNTMF,CNTMF,2022-11-30,2022-09-30,,USD
CNTTQ,CNTTQ,2022-11-17,2022-09-30,0,CAD
CNTX,Context Therapeutics Inc,2022-12-01,2022-09-30,-0.31,USD
CNTY,Century Casinos Inc,2022-11-04,2022-09-30,0.1843,USD
CNVVY,CNVVY,2022-11-30,2022-09-30,0,USD
CNVY,Convey Health Solutions Holdings Inc,2022-11-09,2022-09-30,0.08,USD
CNXC,Concentrix Corporation,2023-01-09,2022-11-30,3.35,USD
CNXN,PC Connection Inc,2022-11-03,2022-09-30,0.81,USD
CO,Global Cord Blood Corp,2022-11-22,2022-09-30,,CNY
COCO,Vita Coco Company Inc (The),2022-11-10,2022-09-30,0.1521,USD
COCP,Cocrystal Pharma Inc,2022-11-14,2022-09-30,-0.52,USD
CODA,Coda Octopus Group Inc,2022-12-28,2022-10-31,0.07,USD
CODI,Compass Diversified Holdings,2022-11-02,2022-09-30,0.46,USD
CODX,Co-Diagnostics Inc,2022-11-16,2022-09-30,0.06,USD
COE,51 Talk Online Education Group,2022-11-21,2022-09-30,0.35,CNY
COF,Capital One Financial Corp,2023-01-24,2022-12-31,4.22,USD
COFS,Choiceone Financial Services Inc,2023-01-24,2022-12-31,,USD
COGT,Cogent Biosciences Inc,2022-11-14,2022-09-30,-0.5429,USD
COHN,Cohen & Company Inc,2022-11-02,2022-09-30,,USD
COHR,Coherent Corp,2022-11-02,2022-09-30,0.8351,USD
COHU,Cohu Inc,2022-11-03,2022-09-30,0.6804,USD
COIN,Coinbase Global Inc - Class A,2022-11-03,2022-09-30,-2.36,USD
COKE,Coca-Cola Consolidated Inc,2022-11-08,2022-09-30,11.19,USD
COLB,Columbia Banking System Inc,2023-01-26,2022-12-31,0.5117,USD
COLD,Americold Realty Trust Inc,2022-11-03,2022-09-30,-0.0074,USD
COLL,Collegium Pharmaceutical Inc,2022-11-09,2022-09-30,1.37,USD
COMM,CommScope Holding Company Inc,2022-11-10,2022-09-30,0.4521,USD
COMP,Compass Inc - Class A,2022-11-09,2022-09-30,-0.2983,USD
COMS,ComSovereign Holding Corp,2022-11-15,2022-09-30,-0.05,USD
CONN,Conns Inc,2022-12-06,2022-10-31,0.17,USD
CONXF,CONXF,2022-11-07,2022-09-30,,USD
COO,Cooper Companies Inc,2022-12-08,2022-10-31,3.13,USD
COOK,Traeger Inc,2022-11-14,2022-09-30,-0.1789,USD
COP,Conoco Phillips,2022-11-03,2022-09-30,3.72,USD
COPRF,COPRF,2022-11-14,2022-09-30,,USD
CORR,CorEnergy Infrastructure Trust Inc,2022-11-02,2022-09-30,0.21,USD
CORT,Corcept Therapeutics Inc,2022-11-02,2022-09-30,0.226,USD
CORZ,Core Scientific Inc,2022-11-30,2022-09-30,0.0293,USD
COST,Costco Wholesale Corp,2022-12-07,2022-09-30,,USD
COST,Costco Wholesale Corp,2022-12-08,2022-11-30,3.09,USD
COTY,Coty Inc - Class A,2022-11-09,2022-09-30,0.1091,USD
COUP,Coupa Software Inc,2022-12-05,2022-10-31,0.0996,USD
COUR,Coursera Inc,2022-11-01,2022-09-30,-0.1112,USD
CP,Canadian Pacific Railway Ltd,2023-01-25,2022-12-31,1.12,CAD
CPA,Copa Holdings S.A. - Class A,2022-11-16,2022-09-30,2.31,USD
CPAC,Cementos Pacasmayo S.A.A.,2022-11-02,2022-09-30,0.1312,PEN
CPB,Campbell Soup Company,2022-11-22,2022-10-31,0.8676,USD
CPE,Callon Petroleum Company,2022-11-02,2022-09-30,4.22,USD
CPF,Central Pacific Financial Corp,2023-01-25,2022-12-31,0.6067,USD
CPHC,Canterbury Park Holding Corp,2022-11-14,2022-09-30,,USD
CPHI,China Pharma Holdings Inc,2022-11-18,2022-09-30,0,USD
CPHRF,CPHRF,2022-11-10,2022-09-30,0.09,USD
CPIX,Cumberland Pharmaceuticals Inc,2022-11-15,2022-09-30,,USD
CPK,Chesapeake Utilities Corp,2022-11-02,2022-09-30,0.75,USD
CPKF,CPKF,2023-01-23,2022-12-31,0.54,USD
CPLFF,CPLFF,2022-11-10,2022-09-30,,USD
CPLG,CPLG,2022-11-07,2022-09-30,,USD
CPLP,Capital Product Partners L P,2022-11-03,2022-09-30,1.06,USD
CPMV,CPMV,2023-01-10,2022-11-30,0,USD
CPNG,Coupang Inc - Class A,2022-11-11,2022-09-30,-0.0428,USD
CPPMF,CPPMF,2022-11-09,2022-09-30,,USD
CPRI,Capri Holdings Ltd,2022-11-10,2022-09-30,1.55,USD
CPRT,Copart Inc,2022-11-22,2022-10-31,1.13,USD
CPRX,Catalyst Pharmaceuticals Inc,2022-11-09,2022-09-30,0.184,USD
CPS,Cooper-Standard Holdings Inc,2022-11-02,2022-09-30,-1.96,USD
CPSH,CPS Technologies Corporation,2022-10-31,2022-09-30,,USD
CPSI,Computer Programs & Systems Inc,2022-11-08,2022-09-30,0.6548,USD
CPTK,Crown PropTech Acquisitions - Class A,2022-11-30,2022-09-30,-0.21,USD
CPTN,Cepton Inc,2022-11-30,2022-09-30,-0.0975,USD
CPTP,CPTP,2022-11-04,2022-09-30,0,USD
CPXGF,CPXGF,2022-11-10,2022-09-30,,USD
CPXWF,CPXWF,2022-10-31,2022-09-30,,USD
CQP,Cheniere Energy Partners LP,2022-11-03,2022-09-30,1.64,USD
CQRLF,CQRLF,2022-11-15,2022-09-30,,USD
CRAI,CRA International Inc,2022-11-03,2022-09-30,1.26,USD
CRARY,CRARY,2022-11-10,2022-09-30,0.1945,USD
CRAWA,CRAWA,2022-11-08,2022-09-30,0.71,USD
CRBG,Corebridge Financial Inc,2022-11-09,2022-09-30,0.51,USD
CRBP,Corbus Pharmaceuticals Holdings Inc,2022-11-10,2022-09-30,-0.06,USD
CRBU,Caribou Biosciences Inc,2022-11-08,2022-09-30,-0.48,USD
CRC,California Resources Corporation - New,2022-11-10,2022-09-30,1.57,USD
CRCT,Cricut Inc - Class A,2022-11-09,2022-09-30,0.0865,USD
CRD-B,Crawford & Co. - Class B,2022-11-07,2022-09-30,0.22,USD
CRDF,Cardiff Oncology Inc,2022-11-10,2022-09-30,-0.265,USD
CRDL,Cardiol Therapeutics Inc - Class A,2022-11-15,2022-09-30,-0.1207,CAD
CRDO,Credo Technology Group Holding Ltd,2022-12-28,2022-10-31,0.0338,USD
CRDOF,CRDOF,2022-11-23,2022-09-30,,USD
CREG,Smart Powerr Corp,2022-11-21,2022-09-30,0,USD
CRESY,Cresud,2022-11-14,2022-09-30,0,ARS
CREX,Creative Realities Inc,2022-11-16,2022-09-30,-0.03,USD
CRFQF,CRFQF,2022-11-14,2022-09-30,,CAD
CRGE,Charge Enterprises Inc,2022-11-17,2022-10-31,-0.08,USD
CRGE,Charge Enterprises Inc,2022-11-17,2022-09-30,-0.08,USD
CRGP,CRGP,2022-11-30,2022-09-30,0,USD
CRGY,Crescent Energy Company - Class A,2022-11-04,2022-09-30,1.28,USD
CRH,CRH Plc,2022-11-30,2022-09-30,0,USD
CRHKY,CRHKY,2022-11-11,2022-09-30,0,CNY
CRIS,Curis Inc,2022-11-08,2022-09-30,-0.166,USD
CRK,Comstock Resources Inc,2022-11-08,2022-09-30,1.08,USD
CRKN,Crown ElectroKinetics Corp,2022-11-30,2022-09-30,-0.18,USD
CRL,Charles River Laboratories International Inc,2022-11-02,2022-09-30,2.54,USD
CRLBF,CRLBF,2022-11-10,2022-09-30,-0.0123,USD
CRLFF,CRLFF,2022-11-10,2022-09-30,,USD
CRM,Salesforce Inc,2022-11-29,2022-10-31,1.22,USD
CRMBQ,CRMBQ,2022-11-18,2022-09-30,0,USD
CRMD,CorMedix Inc,2022-11-10,2022-09-30,-0.2433,USD
CRMT,Americas Car Mart Inc,2022-11-17,2022-10-31,2.17,USD
CRNC,Cerence Inc,2022-11-21,2022-09-30,-0.2182,USD
CRNT,Ceragon Networks Ltd,2022-11-07,2022-09-30,0.01,USD
CRNX,Crinetics Pharmaceuticals Inc,2022-11-15,2022-09-30,-0.7837,USD
CROMF,CROMF,2022-11-09,2022-09-30,,USD
CRON,Cronos Group Inc,2022-11-30,2022-09-30,-0.06,USD
CRPOF,CRPOF,2022-11-15,2022-09-30,,USD
CRRTF,CRRTF,2022-11-09,2022-09-30,,USD
CRSP,CRISPR Therapeutics AG,2022-11-02,2022-09-30,-2.29,USD
CRSR,Corsair Gaming Inc,2022-11-15,2022-09-30,0.0544,USD
CRSXF,CRSXF,2022-11-01,2022-09-30,,USD
CRTD,CRTD,2022-11-21,2022-09-30,,USD
CRTO,Criteo S.A,2022-11-02,2022-09-30,0.458,USD
CRTX,CRTX,2022-11-16,2022-09-30,-0.2836,USD
CRUCF,CRUCF,2022-11-07,2022-08-31,,CAD
CRUS,Cirrus Logic Inc,2022-11-01,2022-09-30,1.45,USD
CRVL,Corvel Corp,2022-11-01,2022-09-30,,USD
CRVS,Corvus Pharmaceuticals Inc,2022-11-03,2022-09-30,-0.145,USD
CRVW,CRVW,2022-11-30,2022-09-30,0,USD
CRWD,Crowdstrike Holdings Inc - Class A,2022-12-08,2022-10-31,0.3176,USD
CRWG,CRWG,2022-12-15,2022-10-31,0,USD
CRWS,Crown Crafts Inc,2022-11-16,2022-09-30,0.18,USD
CRXM,CRXM,2022-11-17,2022-09-30,0,USD
CRXT,CRXT,2022-11-17,2022-09-30,-0.1767,USD
CRXTQ,CRXTQ,2022-11-17,2022-09-30,-0.1767,USD
CRY,CRY,2022-11-02,2022-09-30,,USD
CRZBY,CRZBY,2022-11-09,2022-09-30,0.1787,EUR
CSAN,Cosan S.A,2022-11-11,2022-09-30,0.2112,BRL
CSBB,CSBB,2023-01-24,2022-12-31,,USD
CSBR,Champions Oncology Inc,2022-12-13,2022-10-31,0.0133,USD
CSCO,Cisco Systems Inc,2022-11-16,2022-10-31,0.8347,USD
CSGS,CSG Systems International Inc,2022-11-02,2022-09-30,0.855,USD
CSHX,CSHX,2023-01-16,2022-12-31,,USD
CSII,Cardiovascular Systems Inc,2022-11-01,2022-09-30,-0.2317,USD
CSIOY,CSIOY,2022-11-09,2022-09-30,1.56,USD
CSIQ,Canadian Solar Inc,2022-11-17,2022-09-30,0.5502,USD
CSLT,CSLT,2022-10-31,2022-09-30,,USD
CSOL,CSOL,2022-11-17,2022-09-30,0,USD
CSPI,CSP Inc,2022-12-21,2022-09-30,,USD
CSPR,CSPR,2022-11-14,2022-09-30,,USD
CSPUF,CSPUF,2022-11-24,2022-09-30,,USD
CSR,Centerspace,2022-11-08,2022-09-30,-0.06,USD
CSSE,Chicken Soup for the Soul Entertainment Inc - Class A,2022-11-17,2022-09-30,-1.02,USD
CSSV,CSSV,2022-11-30,2022-09-30,0,USD
CSTE,Caesarstone Ltd,2022-11-09,2022-09-30,0.285,USD
CSTI,CSTI,2022-11-15,2022-09-30,,USD
CSTL,Castle Biosciences Inc,2022-11-14,2022-09-30,-0.8757,USD
CSTPF,CSTPF,2022-11-22,2022-09-30,,USD
CSTR,CapStar Financial Holdings Inc,2023-01-26,2022-12-31,0.4965,USD
CSU,CSU,2022-11-08,2022-09-30,,USD
CSV,Carriage Services Inc,2022-11-01,2022-09-30,0.575,USD
CSVI,CSVI,2023-01-05,2022-11-30,,USD
CSWC,Capital Southwest Corp,2022-10-31,2022-09-30,0.505,USD
CSWI,CSW Industrials Inc,2022-11-09,2022-09-30,1.71,USD
CSX,CSX Corp,2023-01-19,2022-12-31,0.484,USD
CTA-PA,CTA-PA,2022-11-08,2022-09-30,,USD
CTAGY,CTAGY,2022-11-30,2022-09-30,0,USD
CTARF,CTARF,2022-11-16,2022-09-30,,USD
CTAS,Cintas Corporation,2022-12-22,2022-11-30,3.01,USD
CTBI,Community Trust Bancorp Inc,2023-01-18,2022-12-31,1.17,USD
CTBK,CTBK,2022-10-31,2022-09-30,0,USD
CTEK,CTEK,2022-11-09,2022-09-30,,USD
CTGO,Contango Ore Inc,2022-11-10,2022-09-30,,USD
CTHR,Charles & Colvard Ltd,2022-11-03,2022-09-30,-0.01,USD
CTIB,Yunhong CTI Ltd,2022-11-15,2022-09-30,0,USD
CTIC,CTI BioPharma Corp,2022-11-14,2022-09-30,-0.1409,USD
CTK,CTK,2022-12-06,2022-09-30,,USD
CTKB,Cytek BioSciences Inc,2022-11-07,2022-09-30,0.01,USD
CTKYY,CTKYY,2022-11-16,2022-09-30,0.39,USD
CTLP,Cantaloupe Inc,2022-11-10,2022-09-30,-0.01,USD
CTLT,Catalent Inc,2022-11-08,2022-09-30,0.5774,USD
CTM,Castellum Inc,2022-11-14,2022-09-30,,USD
CTMX,CytomX Therapeutics Inc,2022-11-08,2022-09-30,-0.3281,USD
CTNXF,CTNXF,2022-11-28,2022-09-30,,USD
CTOS,Custom Truck One Source Inc,2022-11-08,2022-09-30,0.0528,USD
CTPR,CTPR,2022-11-03,2022-09-30,0,USD
CTRE,CareTrust REIT Inc,2022-11-07,2022-09-30,0.245,USD
CTRM,Castor Maritime Inc,2022-11-07,2022-09-30,,USD
CTRN,Citi Trends Inc,2022-11-29,2022-08-31,0.275,USD
CTRRF,CTRRF,2022-11-07,2022-09-30,,USD
CTSDF,CTSDF,2022-11-08,2022-09-30,,USD
CTSO,Cytosorbents Corp,2022-11-08,2022-09-30,-0.1189,USD
CTT,CatchMark Timber Trust Inc - Class A,2022-11-02,2022-09-30,-0.02,USD
CTTAY,CTTAY,2022-11-10,2022-09-30,0.1438,EUR
CTTC,CTTC,2022-11-23,2022-09-30,0,USD
CTV,Innovid Corp,2022-11-30,2022-09-30,-0.045,USD
CTVA,Corteva Inc,2022-11-03,2022-09-30,-0.2185,USD
CTXR,Citius Pharmaceuticals Inc,2022-12-14,2022-09-30,-0.0567,USD
CTXS,Citrix Systems Inc,2023-01-25,2022-12-31,1.42,USD
CTXXF,CTXXF,2022-11-08,2022-09-30,,USD
CUAUF,CUAUF,2022-12-13,2022-11-30,,USD
CUBI,Customers Bancorp Inc,2023-01-25,2022-12-31,1.68,USD
CUBXF,CUBXF,2022-11-14,2022-09-30,,USD
CUE,Cue Biopharma Inc,2022-11-16,2022-09-30,-0.3733,USD
CUK,Carnival plc,2022-12-21,2022-11-30,-0.8118,USD
CULP,Culp Inc,2022-12-01,2022-11-30,-0.075,USD
CURI,CuriosityStream Inc - Class A,2022-11-17,2022-09-30,-0.1957,USD
CURLF,CURLF,2022-11-07,2022-09-30,-0.0309,USD
CURN,CURN,2023-01-25,2022-10-31,,USD
CURV,Torrid Holdings Inc,2022-12-07,2022-10-31,0.115,USD
CUSI,CUSI,2022-11-01,2022-09-30,0,USD
CUSI,CUSI,2023-01-19,2022-12-31,0,USD
CUTR,Cutera Inc,2022-11-08,2022-09-30,-0.428,USD
CVAC,CureVac N.V.,2022-12-05,2022-09-30,-0.3633,EUR
CVALF,CVALF,2022-12-12,2022-09-30,,CAD
CVBF,CVB Financial Corp,2023-01-25,2022-12-31,0.4686,USD
CVCO,Cavco Industries Inc,2022-11-08,2022-09-30,5.88,USD
CVCY,Central Valley Community Bancorp,2023-01-25,2022-12-31,0.632,USD
CVE,Cenovus Energy Inc,2022-11-02,2022-09-30,0.9144,CAD
CVET,Covetrus Inc,2022-11-03,2022-09-30,0.2654,USD
CVGI,Commercial Vehicle Group Inc,2022-11-07,2022-09-30,0.285,USD
CVGW,Calavo Growers Inc,2022-12-20,2022-10-31,0.31,USD
CVHL,CVHL,2022-11-01,2022-09-30,0,USD
CVI,CVR Energy Inc,2022-10-31,2022-09-30,1.95,USD
CVLG,Covenant Logistics Group Inc - Class A,2023-01-25,2022-12-31,1.19,USD
CVLT,Commvault Systems Inc,2023-01-25,2022-12-31,0.7029,USD
CVLY,Codorus Valley Bancorp Inc,2023-01-19,2022-12-31,,USD
CVM,Cel-Sci Corp,2022-12-22,2022-09-30,-0.14,USD
CVNA,Carvana Co. - Class A,2022-11-03,2022-09-30,-1.76,USD
CVR,Chicago Rivet & Machine Company,2022-11-08,2022-09-30,,USD
CVRX,CVRx Inc,2022-11-03,2022-09-30,-0.5569,USD
CVS,CVS Health Corp,2022-11-02,2022-09-30,2,USD
CVSI,CVSI,2022-11-09,2022-09-30,-0.02,USD
CVT,Cvent Holding Corp,2022-11-30,2022-09-30,0.0409,USD
CVTGF,CVTGF,2022-11-09,2022-09-30,,CAD
CVU,,2022-11-17,2022-09-30,,USD
CVUA,CVUA,2022-11-24,2022-09-30,,USD
CVV,CVD Equipment Corp,2022-11-15,2022-09-30,,USD
CVVUF,CVVUF,2022-12-28,2022-10-31,0,USD
CVX,Chevron Corp,2023-01-27,2022-12-31,4.35,USD
CW,Curtiss-Wright Corp,2022-11-02,2022-09-30,2.03,USD
CWAN,Clearwater Analytics Holdings Inc Class A,2022-11-02,2022-09-30,0.0489,USD
CWBC,Community West Bancshares,2023-01-27,2022-12-31,0.37,USD
CWBHF,CWBHF,2022-11-16,2022-09-30,-0.03,USD
CWBR,CohBar Inc,2022-11-14,2022-09-30,-1.5,USD
CWCO,Consolidated Water Co. Ltd,2022-11-10,2022-09-30,0.17,USD
CWEGF,CWEGF,2022-11-03,2022-09-30,,USD
CWEN,Clearway Energy Inc - Class C,2022-11-02,2022-09-30,0.4448,USD
CWEN-A,Clearway Energy Inc - Class A,2022-11-02,2022-09-30,0.34,USD
CWENA,CWENA,2022-11-02,2022-09-30,0.4448,USD
CWH,Camping World Holdings Inc - Class A,2022-11-01,2022-09-30,1.29,USD
CWK,Cushman & Wakefield plc,2022-11-03,2022-09-30,0.5512,USD
CWLPF,CWLPF,2022-11-14,2022-08-31,,CAD
CWLPF,CWLPF,2023-01-10,2022-11-30,,CAD
CWSFF,CWSFF,2022-12-20,2022-10-31,,USD
CWSRF,CWSRF,2022-11-09,2022-09-30,,USD
CWVLF,CWVLF,2022-11-08,2022-09-30,,USD
CWXZF,CWXZF,2022-11-03,2022-09-30,,USD
CWYUF,CWYUF,2022-11-11,2022-09-30,,USD
CXBMF,CXBMF,2022-11-02,2022-09-30,,USD
CXDC,CXDC,2022-11-14,2022-09-30,0,USD
CXDO,Crexendo Inc,2022-11-08,2022-09-30,0.0179,USD
CXM,Sprinklr Inc Class A,2022-12-09,2022-09-30,-0.0111,USD
CXW,CoreCivic Inc,2022-11-09,2022-09-30,0.2,USD
CXXIF,CXXIF,2022-12-14,2022-10-31,,USD
CYAD,Celyad Oncology,2022-11-10,2022-09-30,0,EUR
CYAN,Cyanotech Corp,2022-11-09,2022-09-30,,USD
CYBN,Cybin Inc,2022-11-30,2022-09-30,-0.0564,CAD
CYBR,CyberArk Software Ltd,2022-11-03,2022-09-30,-0.2035,USD
CYCC,Cyclacel Pharmaceuticals Inc,2022-11-16,2022-09-30,-0.515,USD
CYCN,Cyclerion Therapeutics Inc,2022-11-09,2022-09-30,-0.325,USD
CYD,China Yuchai International,2022-11-15,2022-09-30,0,CNY
CYDY,CYDY,2022-11-02,2022-08-31,-0.05,USD
CYH,Community Health Systems Inc,2022-11-01,2022-09-30,-0.0194,USD
CYMHF,CYMHF,2022-12-29,2022-10-31,,USD
CYN,Cyngn Inc,2022-11-16,2022-09-30,-0.195,USD
CYPXF,CYPXF,2022-11-17,2022-09-30,,USD
CYRN,CYREN Ltd,2022-11-14,2022-09-30,,USD
CYRX,CryoPort Inc,2022-11-10,2022-09-30,-0.1395,USD
CYT,Cyteir Therapeutics Inc,2022-11-11,2022-09-30,-0.4025,USD
CYTH,Cyclo Therapeutics Inc - Class A,2022-11-14,2022-09-30,-0.37,USD
CYTK,Cytokinetics Inc,2022-11-03,2022-09-30,-1.17,USD
CYTO,Altamira Therapeutics Ltd,2022-11-17,2022-09-30,0,CHF
CYTR,CYTR,2022-11-17,2022-09-30,,USD
CYXT,Cyxtera Technologies Inc - Class A,2022-11-14,2022-09-30,-0.2079,USD
CZFS,Citizens Financial Services Inc,2023-01-26,2022-12-31,1.96,USD
CZMWY,CZMWY,2022-12-09,2022-09-30,0.9169,USD
CZNC,Citizens & Northern Corp,2023-01-19,2022-12-31,0.49,USD
CZR,Caesars Entertainment Inc,2022-11-01,2022-09-30,0.2348,USD
D,Dominion Energy Inc,2022-11-04,2022-09-30,1.12,USD
DAC,Danaos Corporation,2022-11-07,2022-09-30,6.61,USD
DADA,Dada Nexus Ltd,2022-11-23,2022-09-30,-1.17,CNY
DAIO,Data io Corp,2022-11-03,2022-09-30,-0.15,USD
DAKT,Daktronics Inc,2022-11-22,2022-08-31,0.09,USD
DAL,Delta Air Lines Inc,2023-01-12,2022-12-31,0.8465,USD
DALN,DallasNews Corporation - Class A,2022-10-31,2022-09-30,,USD
DAO,Youdao Inc,2022-11-24,2022-09-30,-1.56,CNY
DAR,Darling Ingredients Inc,2022-11-08,2022-09-30,1.42,USD
DARE,Dare Bioscience Inc,2022-11-17,2022-09-30,-0.1175,USD
DASH,DoorDash Inc - Class A,2022-11-03,2022-09-30,-0.5538,USD
DAVA,Endava plc,2022-11-16,2022-09-30,0.5099,GBP
DAVE,Dave Inc - Class A,2022-11-30,2022-09-30,-0.06,USD
DAWN,Day One Biopharmaceuticals Inc,2022-11-07,2022-09-30,-0.5182,USD
DBCCF,DBCCF,2022-11-16,2022-09-30,,USD
DBD,Diebold Nixdorf Inc,2022-11-01,2022-09-30,0.335,USD
DBI,Designer Brands Inc - Class A,2022-12-13,2022-11-30,0.7079,USD
DBOXF,DBOXF,2022-11-10,2022-09-30,,CAD
DBRG,DigitalBridge Group Inc - Class A,2022-11-04,2022-09-30,-0.158,USD
DBSDY,DBSDY,2022-11-03,2022-09-30,2.26,SGD
DBTX,Decibel Therapeutics Inc,2022-11-09,2022-09-30,-0.6674,USD
DBVT,DBV Technologies,2022-11-03,2022-09-30,-0.35,USD
DBX,Dropbox Inc - Class A,2022-11-03,2022-09-30,0.3767,USD
DCBO,Docebo Inc,2022-11-17,2022-09-30,-0.0339,USD
DCFC,Tritium DCFC Ltd,2022-11-30,2022-09-30,-0.17,USD
DCGO,DocGo Inc,2022-11-16,2022-09-30,0.0452,USD
DCHRF,DCHRF,2023-01-10,2022-12-31,,USD
DCI,Donaldson Co. Inc,2022-12-06,2022-10-31,0.7117,USD
DCMDF,DCMDF,2022-11-08,2022-09-30,,USD
DCO,Ducommun Inc,2022-11-02,2022-09-30,0.8733,USD
DCOM,Dime Community Bancshares Inc,2023-01-26,2022-12-31,1.09,USD
DCP,DCP Midstream LP,2022-11-01,2022-09-30,1.13,USD
DCPH,Deciphera Pharmaceuticals Inc,2022-11-09,2022-09-30,-0.5764,USD
DCT,Duck Creek Technologies Inc,2023-01-05,2022-11-30,0.019,USD
DCTH,Delcath Systems Inc,2022-11-15,2022-09-30,-0.8875,USD
DD,DuPont de Nemours Inc,2022-11-03,2022-09-30,0.8012,USD
DDD,3D Systems Corp,2022-11-01,2022-09-30,-0.0699,USD
DDEJF,DDEJF,2022-11-09,2022-09-30,,USD
DDHRF,DDHRF,2022-10-31,2022-09-30,,USD
DDI,DoubleDown Interactive Co Ltd,2022-11-09,2022-09-30,7.36,USD
DDNFF,DDNFF,2022-11-21,2022-09-30,,USD
DDOG,Datadog Inc - Class A,2022-11-15,2022-09-30,0.1638,USD
DDS,Dillard`s Inc - Class A,2022-11-09,2022-08-31,,USD
DDS,Dillard`s Inc - Class A,2022-11-10,2022-10-31,4.96,USD
DE,Deere & Company,2022-11-23,2022-10-31,7.16,USD
DEA,Easterly Government Properties Inc,2022-11-01,2022-09-30,0.105,USD
DECN,DECN,2022-11-30,2022-09-30,0,USD
DEER,DEER,2022-11-30,2022-09-30,0,USD
DEI,Douglas Emmett Inc,2022-11-03,2022-09-30,0.1393,USD
DELL,Dell Technologies Inc - Class C,2022-11-23,2022-10-31,1.62,USD
DEN,Denbury Inc - New,2022-11-03,2022-09-30,1.95,USD
DENN,Denny`s Corp,2022-11-01,2022-09-30,0.1367,USD
DEO,Diageo plc,2022-11-30,2022-09-30,0,GBP
DEO,Diageo plc,2023-01-25,2022-12-31,4.42,GBP
DERM,Journey Medical Corp,2022-12-09,2022-09-30,-0.3433,USD
DESP,Despegar.com Corp,2022-11-17,2022-09-30,-0.085,USD
DESTQ,DESTQ,2022-12-13,2022-10-31,0,USD
DFCO,DFCO,2022-12-05,2022-09-30,,USD
DFFN,Diffusion Pharmaceuticals Inc,2022-11-14,2022-09-30,-2.14,USD
DFH,Dream Finders Homes Inc - Class A,2022-11-09,2022-09-30,0.6529,USD
DFIN,Donnelley Financial Solutions Inc,2022-11-09,2022-09-30,0.8167,USD
DFS,Discover Financial Services,2023-01-18,2022-12-31,3.48,USD
DG,Dollar General Corp,2022-12-08,2022-10-31,2.53,USD
