symbol,name,reportDate,fiscalDateEnding,estimate,currency
ADAP,Adaptimmune Therapeutics Plc,2022-11-09,2022-09-30,-0.2785,USD
ADBE,Adobe Inc,2022-12-15,2022-11-30,3.5,USD
ADC,Agree Realty Corp,2022-11-01,2022-09-30,0.4375,USD
ADCOF,ADCOF,2022-11-08,2022-09-30,,CAD
ADCT,Adc Therapeutics SA,2022-11-17,2022-09-30,-0.385,USD
ADDYY,ADDYY,2022-11-09,2022-09-30,1.37,EUR
ADEA,Adeia Inc,2022-11-09,2022-09-30,0.32,USD
ADERY,ADERY,2022-11-09,2022-09-30,0,USD
ADES,Advanced Emissions Solutions Inc,2022-11-08,2022-09-30,,USD
ADFJF,ADFJF,2022-12-06,2022-10-31,,CAD
ADFS,ADFS,2022-11-22,2022-09-30,0,USD
ADGI,ADGI,2022-11-14,2022-09-30,-0.4375,USD
ADI,Analog Devices Inc,2022-11-22,2022-10-31,2.59,USD
ADIL,Adial Pharmaceuticals Inc,2022-11-30,2022-09-30,-0.1667,USD
ADMA,Adma Biologics Inc,2022-11-10,2022-09-30,-0.07,USD
ADMP,Adamis Pharmaceuticals Corp,2022-11-15,2022-09-30,-0.03,USD
ADMS,ADMS,2022-11-08,2022-09-30,,USD
ADN,Advent Technologies Holdings Inc - Class A,2022-11-14,2022-09-30,-0.2,USD
ADNT,Adient plc,2022-11-09,2022-09-30,0.5088,USD
ADOOY,ADOOY,2022-11-02,2022-09-30,0.7492,USD
ADPT,Adaptive Biotechnologies Corp,2022-11-03,2022-09-30,-0.3775,USD
ADRNY,ADRNY,2022-11-09,2022-09-30,0.596,EUR
ADRZY,ADRZY,2022-11-04,2022-09-30,0.1983,USD
ADS,ADS,2023-01-25,2022-12-31,,USD
ADSK,Autodesk Inc,2022-11-29,2022-10-31,1.7,USD
ADT,ADT Inc,2022-11-08,2022-09-30,0.0667,USD
ADTFF,ADTFF,2023-01-05,2022-11-30,,CAD
ADTH,AdTheorent Holding Company Inc,2022-11-30,2022-09-30,0.025,USD
ADTM,ADTM,2022-11-10,2022-09-30,0,USD
ADTN,ADTRAN Holdings Inc,2023-01-17,2022-12-31,0.2233,USD
ADTX,Aditxt Inc,2022-11-30,2022-09-30,-2.5,USD
ADUS,Addus HomeCare Corporation,2022-11-07,2022-09-30,0.9289,USD
ADV,Advantage Solutions Inc - Class A,2022-11-21,2022-09-30,0.19,USD
ADVM,Adverum Biotechnologies Inc,2022-11-10,2022-09-30,-0.3475,USD
ADWPF,ADWPF,2022-11-09,2022-09-30,,USD
ADXN,Addex Therapeutics Ltd,2022-10-31,2022-09-30,-0.0928,CHF
ADYEY,ADYEY,2022-11-30,2022-09-30,0,EUR
ADYX,ADYX,2022-11-17,2022-09-30,0,USD
AE,Adams Resources & Energy Inc,2022-11-10,2022-09-30,0.715,USD
AEBZY,AEBZY,2022-11-08,2022-09-30,0.0191,TRY
AEE,Ameren Corp,2022-11-04,2022-09-30,1.73,USD
AEG,Aegon N. V.,2022-11-10,2022-09-30,0.1847,EUR
AEHR,Aehr Test Systems,2023-01-05,2022-11-30,0.1,USD
AEIS,Advanced Energy Industries Inc,2022-10-31,2022-09-30,1.39,USD
AEL,American Equity Investment Life Holding Company,2022-11-07,2022-09-30,0.8272,USD
AEMD,Aethlon Medical Inc,2022-11-08,2022-09-30,-0.1867,USD
AEMMY,AEMMY,2022-11-10,2022-09-30,0,USD
AENZ,Aenza S.A.A,2022-11-03,2022-09-30,0,PEN
AEO,American Eagle Outfitters Inc,2022-12-14,2022-11-30,0.2274,USD
AEP,American Electric Power Company Inc,2023-01-26,2022-12-31,1.02,USD
AER,Aercap Holdings N.V.,2022-11-02,2022-09-30,1.1,USD
AERC,AeroClean Technologies Inc,2022-11-30,2022-09-30,-0.07,USD
AERG,AERG,2022-11-07,2022-09-30,0,USD
AERI,Aerie Pharmaceuticals Inc,2022-11-09,2022-09-30,-0.4454,USD
AES,AES Corp,2022-11-03,2022-09-30,0.5153,USD
AESE,Allied Esports Entertainment Inc,2022-11-15,2022-09-30,-0.05,USD
AETUF,AETUF,2022-11-04,2022-09-30,0.7728,USD
AEVA,Aeva Technologies Inc,2022-11-09,2022-09-30,-0.1617,USD
AEY,Addvantage Technologies Group,2022-12-21,2022-09-30,,USD
AEYE,AudioEye Inc,2022-11-17,2022-09-30,-0.03,USD
AEZS,Aeterna Zentaris Inc,2022-11-10,2022-09-30,-0.03,USD
AFCG,AFC Gamma Inc,2022-11-03,2022-09-30,0.6586,USD
AFFY,AFFY,2022-11-09,2022-09-30,0,USD
AFG,American Financial Group Inc,2022-11-01,2022-09-30,2.14,USD
AFGVY,AFGVY,2022-11-09,2022-09-30,0,USD
AFI,AFI,2022-11-02,2022-09-30,,USD
AFIB,Acutus Medical Inc,2022-11-17,2022-09-30,-0.7931,USD
AFIIQ,AFIIQ,2022-10-31,2022-09-30,,USD
AFL,Aflac Inc,2022-10-31,2022-09-30,1.24,USD
AFMD,Affimed N.V.,2022-11-09,2022-09-30,-0.1609,EUR
AFRM,Affirm Holdings Inc - Class A,2022-11-09,2022-09-30,-0.8398,USD
AFYA,Afya Ltd - Class A,2022-11-18,2022-09-30,1.39,BRL
AG,First Majestic Silver Corporation,2022-11-10,2022-09-30,0.0084,USD
AGCCF,AGCCF,2022-11-28,2022-09-30,,USD
AGCO,AGCO Corp,2022-11-01,2022-09-30,3.14,USD
AGE,AgeX Therapeutics Inc,2022-11-14,2022-09-30,,USD
AGEN,Agenus Inc,2022-11-08,2022-09-30,-0.18,USD
AGESY,AGESY,2022-11-09,2022-09-30,1.48,EUR
AGFAF,AGFAF,2022-12-05,2022-09-30,0,CAD
AGFMF,AGFMF,2023-01-24,2022-11-30,,USD
AGFS,AgroFresh Solutions Inc,2022-11-09,2022-09-30,-0.01,USD
AGFY,Agrify Corp,2022-11-09,2022-09-30,-0.36,USD
AGGHF,AGGHF,2022-11-30,2022-09-30,0,USD
AGGZF,AGGZF,2022-11-08,2022-09-30,,USD
AGHC,AGHC,2022-11-11,2022-09-30,0,USD
AGIL,AgileThought Inc - Class A,2022-11-14,2022-09-30,-0.0867,USD
AGIO,Agios Pharmaceuticals Inc,2022-11-02,2022-09-30,-1.71,USD
AGL,Agilon Health Inc,2022-11-03,2022-09-30,-0.0457,USD
AGLE,Aeglea BioTherapeutics Inc,2022-11-10,2022-09-30,-0.244,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2022-11-10,2022-09-30,2.9,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,2022-11-10,2022-09-30,2.9,USD
AGMH,AGM Group Holdings Inc - Class A,2022-12-05,2022-09-30,,USD
AGMJF,AGMJF,2022-11-07,2022-09-30,,USD
AGO,Assured Guaranty Ltd,2022-11-10,2022-09-30,0.8741,USD
AGPYY,AGPYY,2022-11-30,2022-09-30,0,USD
AGRI,AgriFORCE Growing Systems Ltd,2022-11-30,2022-09-30,-0.22,USD
AGRO,Adecoagro S.A.,2022-11-09,2022-09-30,,USD
AGRPY,AGRPY,2022-11-30,2022-09-30,0,USD
AGRX,Agile Therapeutics Inc,2022-11-02,2022-09-30,-0.295,USD
AGS,PlayAGS Inc,2022-11-10,2022-09-30,-0.0103,USD
AGTC,Applied Genetic Technologies Corp,2022-11-08,2022-09-30,-0.3024,USD
AGTI,Agiliti Inc,2022-11-08,2022-09-30,0.1921,USD
AGX,Argan Inc,2022-12-07,2022-10-31,0.835,USD
AGYS,Agilysys Inc,2023-01-26,2022-12-31,0.21,USD
AHCCF,AHCCF,2022-11-10,2022-09-30,,CAD
AHCO,AdaptHealth Corp,2022-11-16,2022-09-30,0.322,USD
AHEXY,AHEXY,2022-11-03,2022-09-30,0.5137,USD
AHFCF,AHFCF,2022-11-09,2022-09-30,,CAD
AHG,Akso Health Group,2022-12-19,2022-09-30,0,USD
AHH,Armada Hoffler Properties Inc,2022-11-08,2022-09-30,0.1,USD
AHIX,AHIX,2022-11-15,2022-09-30,0,USD
AHKSY,AHKSY,2022-11-09,2022-09-30,0.4131,JPY
AHOTF,AHOTF,2022-11-08,2022-09-30,,USD
AHPI,Allied Healthcare Product Inc,2022-11-17,2022-09-30,,USD
AHT,Ashford Hospitality Trust Inc,2022-11-01,2022-09-30,-0.64,USD
AI,C3.ai Inc - Class A,2022-12-01,2022-10-31,-0.2155,USD
AIAGY,AIAGY,2022-12-07,2022-09-30,0,USD
AIFLF,AIFLF,2022-11-10,2022-09-30,,USD
AIFLY,AIFLY,2022-11-14,2022-09-30,0,JPY
AIFS,AIFS,2022-11-02,2022-09-30,,USD
AIG,American International Group Inc,2022-11-01,2022-09-30,0.6472,USD
AIH,Aesthetic Medical International Holdings Group Ltd,2022-11-28,2022-09-30,,CNY
AIHS,Senmiao Technology Ltd,2022-11-16,2022-09-30,,USD
AIKI,AIkido Pharma Inc,2022-11-11,2022-09-30,-0.68,USD
AIM,AIM ImmunoTech Inc,2022-11-18,2022-10-31,-0.0867,USD
AIMD,Ainos Inc,2022-11-11,2022-09-30,0,USD
AIMFF,AIMFF,2022-11-09,2022-09-30,,USD
